sigma,Marangoni_Constant,recoilCoeff,radius_flavour,laser_radius,substrate_temp,absorptivity,width_um_140W,depth_um_140W,area_um2_140W,width_um_200W,depth_um_200W,area_um2_200W,width_um_260W,depth_um_260W,area_um2_260W,objective,status
2.6716227034799163,-0.0015,0.5,2.0,5e-05,300.0,1.0,105.27272727272728,45.03090909090911,663.8181818181818,124.3636363636364,56.44454545454547,923.5454545454544,135.1818181818182,60.88636363636365,1125.0,7.864136991090693,ok
3.0,-0.0015,1.0150081224383949,2.0,5e-05,300.0,1.0,101.45454545454544,45.03272727272729,646.0,121.81818181818184,56.44454545454547,918.5454545454544,133.90909090909088,61.52090909090912,1123.090909090909,6.165499315708519,ok
1.6800746368157928,-0.0007638287174731,0.5,2.0,5e-05,300.0,1.0,102.09090909090908,44.39727272727274,644.6363636363636,124.3636363636364,53.90636363636364,894.6363636363636,138.36363636363637,62.79000000000001,1114.2727272727273,7.536123304884819,ok
2.887057534455929,-0.0015,0.5,2.0,5e-05,300.0,1.0,105.2727272727273,42.49454545454547,660.0,121.1818181818182,56.44636363636364,907.8181818181818,135.1818181818182,59.617272727272734,1111.0909090909092,8.14678464443261,ok
2.47428653106108,-0.0015,0.5,2.0,5e-05,300.0,1.0,99.54545454545456,46.93636363636366,641.5454545454546,124.3636363636364,57.07909090909093,945.1818181818182,141.54545454545456,63.42454545454546,1153.1818181818182,6.725646782867321,ok
2.207390641613137,-0.0015,0.5,2.0,5e-05,300.0,1.0,103.36363636363636,45.03272727272729,663.8181818181818,131.36363636363637,58.34818181818184,977.5454545454544,141.54545454545456,62.79000000000001,1176.0,9.613560501899013,ok
3.0,-0.0015,1.0179258967615996,2.008564838702388,5.414060584957733e-05,300.0,1.0,101.45454545454542,43.12727272727273,634.5454545454545,121.81818181818184,50.73454545454545,872.9090909090909,139.63636363636368,58.34818181818182,1079.3636363636365,9.033635948371112,ok
3.0,-0.0015,1.0066804808793075,2.055993048821477,4.701900844306406e-05,300.0,1.0,103.36363636363636,45.66545454545456,656.1818181818181,116.09090909090908,52.004545454545465,874.1818181818181,127.54545454545456,59.617272727272734,1083.5454545454547,7.315955273483994,ok
2.52175775790766,-0.0015,0.5,1.0002125187730546,4.6848109724272605e-05,300.0,1.0,116.72727272727272,36.14909090909091,648.2727272727273,133.27272727272728,48.83545454545456,898.2727272727274,143.45454545454547,56.44454545454548,1108.6363636363635,17.44703313013371,ok
3.0,-0.0015,1.078662832239386,1.8242595707940592,4.7413890295091855e-05,300.0,1.0,104.0,41.22545454545456,653.1818181818182,122.45454545454548,53.90636363636364,900.818181818182,130.72727272727275,55.17545454545454,1083.9999999999998,10.223781666651346,ok
3.1392868614046705,-0.0014999992485655491,1.6951725019659103,1.869121783096107,5.0000013693742763e-05,300.0,1.0,103.36363636363635,44.39818181818183,656.1818181818181,119.90909090909089,50.73545454545454,883.6363636363635,132.63636363636363,56.445454545454545,1067.0,9.1785544427439,ok
2.5261704423717433,-0.0014857612848502761,0.5,2.3456083697719934,5.019895016324409e-05,300.0,1.0,103.99999999999999,48.20363636363638,665.0909090909091,125.63636363636368,57.71363636363638,914.0909090909091,138.36363636363637,65.32818181818182,1159.0909090909092,7.838402591103236,ok
3.018866810109959,-0.0015163452943253687,0.7709276895679786,3.0187900140027186,5.003085402625029e-05,300.0,1.0,97.63636363636363,50.10454545454547,645.3636363636363,115.45454545454544,57.0809090909091,858.9090909090909,120.54545454545455,62.15636363636365,1064.3636363636363,5.998857843016616,ok
3.021621569984919,-0.0015102374288286282,0.73993355920998,2.068496102209351,4.974537251897383e-05,300.0,1.0,102.0909090909091,45.03272727272729,648.5454545454545,119.90909090909092,53.27272727272728,911.4545454545454,133.27272727272725,57.71363636363638,1105.909090909091,7.510562554059036,ok
3.022192459779251,-0.0015062540217611942,0.7361979444931573,1.8345706761407063,5.0302833864704846e-05,300.0,1.0,105.27272727272725,45.03272727272729,661.9090909090909,124.3636363636364,57.07909090909093,926.9090909090909,135.1818181818182,58.98272727272728,1090.181818181818,8.264844727915893,ok
1.8513127208329374,-0.000765892424456128,0.5,1.918420274681514,5.0000000333177675e-05,300.0,1.0,103.36363636363635,43.76454545454547,647.3636363636364,119.90909090909089,52.00363636363636,888.9090909090911,135.8181818181818,58.98272727272728,1095.4545454545453,8.083981521754433,ok
3.011819277950887,-0.0015189845934979256,1.7289836445006481,2.3542078566755,4.9994516290862624e-05,300.0,1.0,98.9090909090909,46.3009090909091,641.5454545454546,111.63636363636365,55.810000000000024,866.6363636363636,128.8181818181818,61.520909090909115,1097.5454545454545,4.111028333561594,ok
3.015001442856276,-0.0015334026869519334,1.9400315672367352,2.115988784124475,4.9982639535399366e-05,300.0,1.0,100.18181818181817,43.76454545454547,637.0909090909091,116.72727272727273,54.540909090909096,872.9090909090909,135.1818181818182,61.5209090909091,1122.5454545454547,5.578770209448784,ok
3.0183419559678013,-0.0015215327439567516,1.6145448430152407,2.688782685319317,5.011911828869611e-05,300.0,1.0,100.18181818181817,50.73909090909092,658.0909090909089,114.81818181818181,59.617272727272756,882.2727272727273,128.1818181818182,62.15545454545455,1089.090909090909,5.457077867688014,ok
3.013091507590736,-0.001518286853176214,1.8114714577878832,2.7970338619373765,4.986106228852727e-05,300.0,1.0,97.0,48.20272727272729,650.4545454545454,114.18181818181819,59.61727272727274,873.181818181818,128.8181818181818,64.05909090909091,1096.2727272727273,3.9322426911067576,ok
3.013080277179205,-0.0015178153186302201,2.0286164764767594,1.5321320724575176,4.992426785144642e-05,300.0,1.0,108.45454545454547,38.69090909090909,653.0,126.27272727272725,52.00272727272728,904.909090909091,135.1818181818182,55.81,1059.0,12.6760245037973,ok
3.0792601319677315,-0.0020362738839146645,2.164743557874058,2.429714972001883,4.2027316370868043e-05,300.0,1.0,97.63636363636364,51.37272727272729,651.3636363636364,118.00000000000001,64.69363636363636,925.2727272727274,131.36363636363635,72.94090909090909,1164.818181818182,10.320375463473203,ok
3.019047227490703,-0.0019253811292596571,1.7021007456872685,2.4494266057602423,5.0058978973189556e-05,300.0,1.0,98.27272727272727,48.83727272727274,661.7272727272727,125.63636363636363,55.8118181818182,926.2727272727273,135.1818181818182,65.32818181818183,1171.1818181818182,6.439137936886976,ok
